ショパン,"Chopin, Frederic",135,1810,1849,135,TRUE
バッハ,"Bach, Johann Sebastian",233,1685,1750,233,TRUE
ラヴェル,"Ravel, Maurice",387,1875,1937,387,TRUE
ベートーヴェン,"Beethoven, Ludwig van",302,1770,1827,302,TRUE
リスト,"Liszt, Franz",399,1811,1886,399,TRUE
ラフマニノフ,"Rakhmaninov, Sergei Vasil'evich",392,1873,1943,392,TRUE
モーツァルト,"Mozart, Wolfgang Amadeus",367,1756,1791,367,TRUE
プロコフィエフ,"Prokof'ev, Sergei Sergeevich",296,1891,1953,296,TRUE
シューベルト,"Schubert, Franz",129,1797,1828,129,TRUE
シューマン,"Schumann, Robert",130,1810,1856,130,TRUE
ドビュッシー,"Debussy, Claude Achille",196,1862,1918,196,TRUE
スカルラッティ,"Scarlatti, Domenico",147,1685,1757,147,TRUE
ブラームス,"Brahms, Johannes",282,1833,1897,282,TRUE
ハイドン,"Haydn, Franz Joseph",219,1732,1809,219,TRUE
スクリャービン,"Scriabin, Alexander",150,1872,1915,150,TRUE
チャイコフスキー,"Tchaikovsky, Pytr Il'ich",178,1840,1893,178,TRUE
フォーレ,"Faure, Gabriel",271,1845,1924,271,TRUE
メンデルスゾーン,"Mendelssohn, Felix",363,1809,1847,363,TRUE
モシュコフスキ,"Moszkowski, Moritz",366,1854,1925,366,TRUE
カプースチン,"Kapustin, Nikolai",572,1937,2020,,TRUE
グリンカ,"Glinka, Mikhail Ivanovich",74,1804,1857,74,TRUE
ムソルグスキー,"Mussorgsky, Modest Petrovich",355,1839,1881,355,TRUE
サン＝サーンス,"Saint-Saëns, Camille",107,1835,1921,107,TRUE
アルベニス,"Albeniz, Isaac",10,1860,1909,10,TRUE
バラキレフ,"Balakirev, Mily Alekseevich",242,1837,1910,242,TRUE
ヘンデル,"Händel, Georg Friedrich",314,1685,1759,314,TRUE
クレメンティ,"Clementi, Muzio",85,1752,1832,85,TRUE
バルトーク,"Bartók, Béla",247,1881,1945,247,TRUE
ウェーバー,"Weber, Carl Maria von",29,1786,1826,29,TRUE
カバレフスキー,"Kabalevsky, Dimitri",51,1904,1987,,TRUE
ギロック,"Gillock, William",57,1917,1993,,TRUE
クープラン,"Couperin, François",58,1668,1733,58,TRUE
シベリウス,"Sibelius, Jean",114,1865,1957,114,TRUE
テレマン,"Telemann, Georg Philipp",506,1681,1767,506,TRUE
ドヴォルザーク,"Dvořák, Antonin",191,1841,1904,191,TRUE
ハチャトゥリアン,"Khachaturian, Aram Il'ich",227,1903,1978,,TRUE
ビゼー,"Bizet, Georges",470,1838,1875,470,TRUE
ブルグミュラー,"Burgmüller, Johann Friedrich Franz",290,1806,1874,290,TRUE
ランゲ,"Lange, Gustav",395,1830,1889,,TRUE
ルビンシュタイン,"Rubinstein, Anton",406,1829,1894,406,TRUE
ワーグナー,"Wagner, Richard",413,1813,1883,413,TRUE
グラナドス,"Granados, Enrique",68,1867,1916,68,TRUE
フランク,"Franck, César",283,1822,1890,283,TRUE
ブゾーニ,"Busoni, Ferruccio",276,1866,1924,276,TRUE
メトネル,"Medtner, Nikolai Karlovich",359,1880,1951,359,TRUE
ベルク,"Berg, Alban",304,1885,1935,304,TRUE
ヒンデミット,"Hindemith, Paul",262,1895,1963,,TRUE
ショスタコーヴィチ,"Shostakovich, Dmitry Dmitrievich",133,1906,1975,,TRUE
プーランク,"Poulenc, Francis",284,1899,1963,,TRUE
バーバー,"Barber, Samuel",238,1910,1981,,TRUE
ヒナステラ,"Ginastera, Alberto",258,1916,1963,,TRUE
シャブリエ,"Chabrier, Emmanuel",119,1841,1894,119,TRUE
グリーグ,"Grieg, Edvard Hagerup",72,1843,1907,72,TRUE
リャプノフ,"Lyapunov, Sergei Mikhailovich",404,1859,1924,,TRUE
ババジャニン,"Babadzanyan(Babajanian), Arno Arutyunovich",239,1921,1983,,TRUE
スメタナ,"Smetana, Bedřich",155,1824,1884,155,TRUE
サティ,"Satie, Erik",104,1866,1925,104,TRUE
ガーシュウィン,"Gershwin, George",46,1898,1937,46,TRUE
クライスラー,"Kreisler, Fritz",766,1875,1962,,TRUE
ストラヴィンスキー,"Stravinsky, Igor Fyodorovich",154,1882,1971,,TRUE
パッフェルベル,"Pachelbel, Johann",234,1653,1706,234,TRUE
プッチーニ,"Puccini, Giacomo",277,1858,1924,277,TRUE
ロッシーニ,"Rossini, Gioachino",466,1792,1868,466,TRUE
